Coord_x,Coord_y,ISOS_z,ISOS_Size_x,ISOS_Size_y,COST_z,COST_Size_x,COST_Size_y,Cone_Type(L=1;M=2;S=3)
74,184,31.47951775,15.86099423,13.2567157,52.59766003,14.36241161,14.79741327,2
75,154,29.71607035,10.72913852,11.41255475,55.51577576,7.535856242,8.999489642,1
75,170,31.4193532,6.957611568,9.072902509,56.60646076,8.352219666,8.954605328,1
75,245,34.30918749,14.33801074,9.673604687,57.02662691,10.28972148,8.942777594,2
76,37,32.63774106,8.213344527,8.129887087,59.38052544,9.785372035,10.05382621,1
76,78,31.52550065,6.25868302,9.191869916,58.31645955,19.35922901,15.16873318,2
76,98,31.46344106,6.532387568,10.93343511,56.45994829,8.111427206,11.10103421,1
76,194,31.93406683,5.441231553,9.481353465,52.71535017,5.629116437,7.078579242,2
77,56,31.40862277,7.993905611,9.968094821,55.58884377,6.302106153,8.388920146,1
77,67,31.8244111,10.77173919,12.25779531,58.13578486,7.322976543,9.253557349,1
77,89,30.54136729,7.094832791,11.01153804,55.85738331,7.277849732,11.07864486,1
77,130,29.7357283,7.219898526,8.218369863,56.14944899,7.152462624,8.884590328,1
78,226,29.73983811,9.43430888,9.365686109,54.24475329,8.59177445,7.701683964,1
79,107,30.11671128,7.92880138,9.854753636,56.50674838,6.977780531,7.283938418,1
79,176,31.72775463,8.412804606,9.685203679,56.3373753,9.554866813,10.84410063,1
79,214,31.88097234,7.740385026,9.616969238,57.29311871,15.94427479,8.703684506,1
80,160,31.29504876,5.656915606,7.808089975,49.27496835,8.409130905,6.527851432,1
81,95,29.72357483,14.68500857,9.785873965,56.33325367,10.52773632,11.15292841,1
81,147,33.72380159,6.802254582,13.5068228,55.20370421,6.512989578,8.447427728,3
82,84,31.29007276,7.756132319,9.986007979,56.3138451,7.594896357,9.381513326,2
82,114,30.48458417,8.039639154,14.58913808,58.39329586,10.81427736,11.98393981,1
82,185,31.97441697,6.892066544,12.56198537,56.43653088,7.187480096,19.13706697,2
83,10,32.27156753,16.3678262,10.20546737,57.91846049,12.00944797,8.793642349,NaN
83,39,32.02711956,7.974754997,10.1166659,55.86233737,17.09566497,11.37510071,1
83,169,31.07492643,6.418898565,11.45892647,56.07492507,6.843690169,10.31414673,1
83,240,32.83321058,7.4291804,8.872696901,59.94068939,7.836382335,7.702164126,2
84,28,32.81876182,8.047590572,10.03925747,57.20939647,8.075675141,9.343915089,1
84,134,31.25638061,6.588623858,11.33914256,54.96545399,6.276671193,8.543316697,2
84,209,30.74006085,8.069543114,11.03001773,54.81413548,7.466502646,10.12551539,1
85,19,35.34580848,7.804238407,7.988329978,61.73920129,12.68458782,11.77607025,3
85,47,31.18814026,9.863111246,11.1805387,55.49999678,10.85917517,9.519315954,1
86,98,30.24062298,8.951548605,10.90666252,55.4159718,8.26852069,10.04153233,2
86,161,29.64557968,9.384999993,7.079339711,50.88266776,8.619665551,7.063965346,1
87,109,30.7778871,8.192214654,11.77113617,58.42736733,6.889381463,7.499191017,2
88,4,NaN,NaN,NaN,NaN,NaN,NaN,2
88,141,31.20250999,7.680853207,7.9593601,57.27769038,7.777975289,8.467659775,1
89,39,31.07627687,5.830294149,8.411315193,54.52420314,10.04229114,10.64694943,2
89,201,28.81672502,10.05140389,9.641511248,55.0031564,10.79034352,9.981111422,2
90,50,29.77900044,9.209772423,13.73899962,55.83713502,7.882000061,9.123429044,1
90,71,34.09859728,8.809113194,12.37841616,57.9633106,9.906552907,10.37256522,3
90,79,31.36125742,7.676961103,10.60186116,58.35589387,9.528842502,10.61903038,1
91,117,30.06743831,5.434891797,9.388202079,55.00053935,5.906874924,7.332539567,2
91,125,29.19996793,6.58322477,8.412998139,54.66537201,6.54090606,9.418443002,1
91,245,31.25254081,12.16950893,13.06381243,55.27620178,11.36481609,11.08157582,1
