Coord_x,Coord_y,ISOS_z,ISOS_Size_x,ISOS_Size_y,COST_z,COST_Size_x,COST_Size_y,"Cone_Type(L=1;M=2;S=3; Undertermined=4, can ignore)"
59,168,31.9588181,6.564812773,9.955532016,59.54750075,9.399274786,8.658518649,1
59,236,32.27250756,9.852498507,10.85134637,58.51357318,13.6038581,13.57501648,1
60,45,31.79573758,7.948374055,10.66612103,60.83810301,9.95240249,9.235843559,1
60,178,32.43066271,9.339456152,12.35702602,58.98617634,9.1766865,9.508013148,1
60,223,32.01537217,7.525321886,10.50268223,60.7530691,15.04204178,17.31784894,1
60,254,34.73756816,12.79334682,9.986282754,60.26607176,9.476547949,10.49308486,3
61,5,31.56184227,7.960921498,10.8851456,61.68862261,11.75862404,10.69368716,1
61,193,31.36101677,9.733370597,8.570238873,56.47318643,15.11130202,10.41518022,1
61,202,34.05009665,7.956555476,10.12996435,60.65774334,8.985803428,9.43055249,1
62,17,33.33653024,7.630830648,9.74499237,62.25273403,10.912386,11.98578567,1
62,68,32.49498384,7.970872861,8.775401141,62.6644099,9.276628655,9.288861356,1
63,38,29.84838881,9.659787136,10.62925502,59.25646057,13.90479562,9.486286828,1
64,27,31.34043535,10.7911332,7.8342485,60.33454427,11.47535672,13.56097485,1
65,55,30.46363967,7.413543209,7.530084826,59.91026745,10.12211925,7.745452918,1
65,87,30.62618695,10.10144656,10.87799721,59.0024395,13.92985786,12.75263927,1
65,114,31.74782811,8.501571455,8.793607681,60.27969892,9.903205917,9.42039063,1
65,131,33.18266999,8.072651999,11.72196376,59.17547595,8.923305056,9.956138363,1
66,78,32.80877971,8.011362381,8.049420071,62.97535061,12.82764024,9.327513615,1
66,171,32.51407222,7.933807003,8.770955272,59.48021415,8.297360631,8.432820966,1
67,249,33.12259215,8.929205374,9.784088065,59.73786887,11.67122811,10.44341824,1
67,262,32.03581368,7.584878622,17.39829502,58.32799777,9.760286004,9.800165745,1
67,279,32.25210178,7.3566343,9.588520427,57.82744697,9.348684889,8.685376332,1
